20150101	0
20150102	1
20150103	2
20150104	-1
20150105	-3
20150106	2
20150107	-3
20150108	-7
20150109	0
20150110	-2
20150111	0
20150112	1
20150113	0
20150114	0
20150115	1
20150116	3
20150117	5
20150118	7
20150119	6
20150120	9
20150121	6
20150122	3
20150123	2
20150124	1
20150125	6
20150126	7
20150129	9
20150130	6
20150131	7
20150201	3
20150202	-1
20150203	2
20150204	4
20150205	0
20150206	0
20150207	5
20150212	5
20150213	4
20150216	0
20150217	0
20150218	0
20150219	5
20150221	9
20150222	0
20150223	-3
20150224	-3
20150225	0
20150226	0
20150227	-2
20150228	-3
20150301	0
20150302	1
20150303	-9999
20150304	0
20150305	-9999
20150306	-3
20150307	4
20150308	6
20150309	8
20150310	8
20150312	9
20150315	9
20150327	7
20150404	9
20150420	9
20150428	9
20150429	8
20150609	-9999
20150613	-9999
20150615	-9999
20150617	-9999
20150713	35
20150714	36
20150718	35
20150719	35
20150720	36
20150721	36
20150722	35
20150723	35
20150724	35
20150725	35
20150726	35
20150727	35
20150728	36
20150729	37
20150730	37
20150731	38
20150801	36
20150802	36
20150803	36
20150804	36
20150805	37
20150806	37
20150807	37
20150808	37
20150809	39
20150810	39
20150811	40
20150812	39
20150813	38
20150814	37
20150816	35
20150817	35
20150818	35
20150819	35
20150822	35
20150823	37
20150824	37
20150825	37
20150826	35
20150827	35
20150828	36
20150905	35
20150906	35
20150907	36
20150908	35
20151012	36
20151108	8
20151111	-9999
20151118	7
20151121	2
20151122	0
20151123	3
20151124	7
20151127	2
20151128	2
20151129	3
20151130	5
20151201	5
20151202	5
20151203	5
20151204	5
20151205	4
20151206	7
20151207	7
20151208	8
20151213	8
20151214	7
20151216	5
20151217	3
20151218	0
20151219	4
20151225	9
20151227	0
20151228	0
20151229	0
20151230	4
20151231	2
